Ville;Type_bien;loyer_median;loyer_mensuel_median;surface_moyenne;nombre_observations;prix_achat_median;surface_median;loyer_annuel;rendement_%
Grenoble;Appartement;12,2;624.0;57.0;717.0;146237.5;59.0;7488.0;5.120437644243098
Grenoble;Appartement;15,8;435.0;28.0;184.0;146237.49999999997;59.0;5220.0;3.5695358577656218
Grenoble;Appartement;12,6;600.0;47.0;236.0;146237.49999999997;59.0;7200.0;4.923497734849133
Grenoble;Appartement;11,1;797.0;71.0;183.0;146237.5;59.0;9564.0;6.540046157791264
Grenoble;Appartement;10,9;984.0;92.0;114.0;146237.5;59.0;11808.0;8.074536285152577
Grenoble;Appartement;12,0;650.0;59.0;226.0;146237.5;59.0;7800.0;5.333789212753227
Grenoble;Appartement;12,3;620.0;55.0;491.0;146237.49999999997;59.0;7440.0;5.087614326010772
Grenoble;Appartement;14,0;573.0;47.0;171.0;146237.49999999997;59.0;6876.0;4.701940336780922
Grenoble;Appartement;16,1;451.0;27.0;60.0;146237.5;59.0;5412.0;3.700829130694931
Grenoble;Appartement;14,1;620.0;45.0;61.0;146237.49999999997;59.0;7440.0;5.087614326010772
Grenoble;Appartement;13,7;580.0;49.0;130.0;146237.50000000003;59.0;6960.0;4.759381143687494
Grenoble;Appartement;14,1;707.0;54.0;98.0;146237.5;59.0;8484.0;5.801521497563894
Grenoble;Appartement;14,5;680.0;52.0;64.0;146237.49999999997;59.0;8160.0;5.579964099495684
Grenoble;Appartement;13,8;793.0;60.0;172.0;146237.5;59.0;9516.0;6.507222839558937
Grenoble;Appartement;14,3;649.0;45.0;61.0;146237.5;59.0;7788.0;5.325583383195145
Grenoble;Appartement;13,0;866.0;66.0;68.0;146237.5;59.0;10392.0;7.1062483972989146
Grenoble;Appartement;13,6;850.0;66.0;51.0;146237.5;59.0;10200.0;6.974955124369604
Grenoble;Appartement;13,8;783.0;57.0;121.0;146237.5;59.0;9396.0;6.425164543978118
Grenoble;Appartement;12,0;650.0;63.0;874.0;146237.5;59.0;7800.0;5.333789212753227
Grenoble;Appartement;16,8;430.0;27.0;177.0;146237.50000000003;59.0;5160.0;3.5285067099752108
Grenoble;Appartement;12,7;600.0;49.0;317.0;146237.49999999997;59.0;7200.0;4.923497734849133
Grenoble;Appartement;10,8;770.0;71.0;232.0;146237.5;59.0;9240.0;6.318488759723054
Grenoble;Appartement;10,4;1150.0;115.0;148.0;146237.49999999997;59.0;13800.0;9.436703991794172
